a,p,q,f,l,T,m,M,
6078282,0.000107,48,7587861,7587863,8:30:00 PM,FALSE,TRUE,7.23
6078283,0.00010716,30,7587864,7587864,8:30:00 PM,FALSE,TRUE,7.39
6078284,0.00010728,10,7587865,7587865,8:30:00 PM,FALSE,TRUE,7.51
6078285,0.00010767,19,7587866,7587866,8:30:00 PM,FALSE,TRUE,7.90
6078286,0.00010768,6,7587867,7587867,8:30:00 PM,FALSE,TRUE,7.91
6078287,0.0001077,50,7587868,7587868,8:30:00 PM,FALSE,TRUE,7.93
6078288,0.00010779,8,7587869,7587869,8:30:00 PM,FALSE,TRUE,8.02
6078289,0.0001079,6,7587870,7587870,8:30:00 PM,FALSE,TRUE,8.13
6078290,0.00010799,11,7587871,7587872,8:30:00 PM,FALSE,TRUE,8.22
6078291,0.000108,225.14,7587873,7587875,8:30:00 PM,FALSE,TRUE,8.23
6078292,0.000108,1915,7587876,7587876,8:30:00 PM,FALSE,TRUE,8.23
6078293,0.000107,1211,7587877,7587877,8:30:00 PM,FALSE,TRUE,7.23
6078294,0.000108,1028.63,7587878,7587879,8:30:00 PM,FALSE,TRUE,8.23
6078295,0.00010808,19,7587880,7587880,8:30:00 PM,FALSE,TRUE,8.31
6078296,0.00010816,5,7587881,7587881,8:30:00 PM,FALSE,TRUE,8.39
6078297,0.00010818,20,7587882,7587882,8:30:00 PM,FALSE,TRUE,8.41
6078298,0.0001082,19.44,7587883,7587883,8:30:00 PM,FALSE,TRUE,8.43
6078299,0.00010849,39,7587884,7587884,8:30:00 PM,FALSE,TRUE,8.72
6078300,0.0001085,6,7587885,7587885,8:30:00 PM,FALSE,TRUE,8.73
6078301,0.00010888,47,7587886,7587886,8:30:00 PM,FALSE,TRUE,9.11
6078302,0.00010889,500,7587887,7587887,8:30:00 PM,FALSE,TRUE,9.12
6078303,0.00010896,5,7587888,7587888,8:30:00 PM,FALSE,TRUE,9.19
6078304,0.00010899,1,7587889,7587889,8:30:00 PM,FALSE,TRUE,9.22
6078305,0.000109,1872,7587890,7587896,8:30:00 PM,FALSE,TRUE,9.23
6078306,0.00010901,14,7587897,7587898,8:30:00 PM,FALSE,TRUE,9.24
6078307,0.00010924,748,7587899,7587899,8:30:00 PM,FALSE,TRUE,9.47
6078308,0.00010955,157,7587900,7587900,8:30:00 PM,FALSE,TRUE,9.78
6078309,0.00010962,30,7587901,7587901,8:30:00 PM,FALSE,TRUE,9.85
6078310,0.0001097,77,7587902,7587902,8:30:00 PM,FALSE,TRUE,9.93
6078311,0.0001098,74,7587903,7587903,8:30:00 PM,FALSE,TRUE,10.03
6078312,0.00010981,9,7587904,7587904,8:30:00 PM,FALSE,TRUE,10.04
6078313,0.00010999,1001,7587905,7587906,8:30:00 PM,FALSE,TRUE,10.22
6078314,0.00011,9292,7587907,7587937,8:30:00 PM,FALSE,TRUE,10.23
